barcode	reads	n.count
barcode01	10000	2
barcode01	12500	3
barcode01	15000	7
barcode01	20000	10
barcode01	2500	9135
barcode01	30000	9
barcode01	5000	851
barcode01	7500	141
barcode02	10000	612
barcode02	12500	134
barcode02	15000	5
barcode02	20000	5
barcode02	2500	11392
barcode02	30000	3
barcode02	5000	3592
barcode02	7500	1367
barcode03	10000	22
barcode03	12500	3
barcode03	15000	3
barcode03	20000	5
barcode03	2500	11374
barcode03	30000	4
barcode03	5000	2832
barcode03	7500	599
barcode04	10000	147
barcode04	12500	7
barcode04	15000	11
barcode04	20000	6
barcode04	2500	14492
barcode04	30000	7
barcode04	5000	2521
barcode04	7500	631
barcode05	10000	441
barcode05	12500	135
barcode05	15000	3
barcode05	20000	9
barcode05	2500	13242
barcode05	30000	9
barcode05	5000	2802
barcode05	7500	1186
